Taxa,Flowering_BLUE
2369/LH123HT,67.57531161650107
B14A/H95,67.50720687731476
B14A/MO17,67.28988594349357
B14A/OH43,65.37345769663033
B37/H95,67.0322703714099
B37/MO17,66.6083615838275
B37/OH43,65.09827495752762
B73/MO17,67.2763103008514
B73/PHK76,63.81294096108446
B73/PHM49,67.22159276618544
B73/PHN82,66.63750609901692
B73/PHZ51,66.57344910101322
B73/TX779,70.44127783070046
CG108/CGR03,58.60289851848701
CG118/CGR01,55.54126877888142
CG119/CG108,58.59270130855688
CG120/CG123,57.54126877888142
CG120/DK3IIH6,57.54126877888142
CG120/LH162,53.541268778881424
CG120/LH185,57.5412687788814
CG120/LH82,57.54126877888143
CG120/PHK05,55.54126877888142
CG120/PHK56,57.54126877888142
CG120/PHR25,53.54126877888142
CG120/PHW03,57.54126877888141
CG120/PHZ51,57.5412687788814
CG123/LH145,57.54126877888141
CG123/PHB47,57.54126877888142
CG123/PHHV4,57.5412687788814
CG123/PHRE1,59.04126877888142
CG123/S8324,58.5412687788814
CG124/CG120,57.54126877888141
CG124/LH145,57.541268778881424
CG124/PHB47,57.54126877888141
CG124/PHHV4,57.54126877888141
CG124/PHRE1,59.041268778881424
CG124/S8324,57.54126877888142
CG44/CGR01,61.26022727371817
CG60/LH162,53.54126877888142
CG60/LH82,57.54126877888142
CGR01/LH82,57.54126877888142
DK3IIH6/PHRE1,57.54126877888142
DK3IIH6/S8324,57.54126877888142
F42/H95,66.29279259625426
F42/MO17,65.66710689317449
F42/OH43,64.74291688768454
LH132/TX779,68.57443087755958
LH145/DK3IIH6,57.5412687788814
LH145/LH162,55.54126877888141
LH145/LH185,59.54126877888142
LH145/LH82,61.14935735197429
LH145/PHK05,53.54126877888142
LH145/PHR25,69.54126877888142
LH145/PHZ51,66.54126877888142
LH162/PHB47,57.54126877888142
LH185/PHB47,58.54126877888142
LH185/PHRE1,57.54126877888142
LH185/S8324,57.54126877888142
LH195/MO17,70.14356726067042
LH195/PHK76,65.86557254003182
LH195/PHN11,66.4781803393684
LH195/PHN82,67.62873043476866
LH195/PHZ51,68.25088082009916
LH244/MO17,67.87954945325231
LH244/PHK76,63.951827479391596
LH244/PHN82,65.5497830663476
LH244/PHZ51,65.93437443418097
LH74/PHN82,64.55475255567902
LH82/PHB47,62.04126877888142
LH82/PHHV4,62.04126877888142
LH82/PHRE1,61.04126877888141
LH82/S8324,55.541268778881424
LH82/TX779,71.21404898553025
